Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Country (product.metafields.shopify.country),Dietary preferences (product.metafields.shopify.dietary-preferences),Wine sweetness (product.metafields.shopify.wine-sweetness),Wine variety (product.metafields.shopify.wine-variety),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Alcohol (product.metafields.wine.alcohol),Awards (product.metafields.wine.awards),Bottle weight (product.metafields.wine.bottle_weight),Case info (product.metafields.wine.case_info),Country (product.metafields.wine.country),Finish (product.metafields.wine.finish),Maturation (product.metafields.wine.maturation),Nose (product.metafields.wine.nose),Pairing (product.metafields.wine.pairing),Palate (product.metafields.wine.palate),Region (product.metafields.wine.region),Serving temp (product.metafields.wine.serving_temp),Subtitle (product.metafields.wine.subtitle),Variety (product.metafields.wine.variety),Vivino score (product.metafields.wine.vivino_score),Wine Type (product.metafields.wine.wine_type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
petit-sauvignon-blanc-sticla,Petit Sauvignon Blanc,"<p>Petit Sauvignon Blanc este un vin alb sec, vibrant si proaspat, din regiunea Valul lui Traian, Republica Moldova. Expresiv si racoritor, dezvaluie arome intense de grapefruit, fructul pasiunii, kiwi si mango, completate de note fine de iarba proaspat taiata si piper alb. Un vin energic, cu aciditate bine conturata si final proaspat, perfect pentru mese lejere si seri elegante.</p>",PovesteDeVin,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Vin,"bax6, custom-box-eligible, hidden-individual, hidden-product",true,Title,Default Title,,,,,,,,PE-SB,1250.0,shopify,-6,continue,manual,22.23,,true,false,,,,,'5941930900181,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Petit_Sauvignon_Blanc.jpg?v=1772400198,1,Petit Sauvignon Blanc 750ml eticheta fata,false,Petit Sauvignon Blanc 750ml | Vin alb sec | PovesteDeVin,"Petit Sauvignon Blanc 750ml, vin alb sec din regiunea Valul lui Traian, Republica Moldova. Proaspat, vibrant si expresiv, disponibil la bax de 6 sticle sau in cutie personalizabila. Comanda online de la PovesteDeVin.",,,,,,,,,,,,,moldova,vegan; vegetarian,dry,white,,,,,13%,,1.25 kg,Sticla 0.75 L,Moldova,"Final racoritor, persistent si precis, cu o impresie citrica placuta si o nota subtila condimentata care invita la inca un pahar.","Vinificat in stil proaspat, fara maturare in baric, pentru a pastra puritatea aromelor primare si caracterul vibrant al soiului Sauvignon Blanc.","Arome intense si curate de grapefruit, fructul pasiunii si kiwi, completate de mango copt si accente subtile de iarba proaspat taiata si piper alb. Un profil aromatic viu, energic si elegant.","Se potriveste excelent cu peste la gratar sau la cuptor, fructe de mare si piept de pui la gratar. Este o alegere inspirata alaturi de salate proaspete cu dressing citric, branzeturi moi si preparate usoare din bucataria mediteraneana.","Atac proaspat si crocant, cu aciditate bine definita si textura supla. Fructele tropicale si citricele domina gustativ, sustinute de o mineralitate fina care echilibreaza structura vinului.",Valul lui Traian,8–12°C,Prospetime vibranta si expresivitate aromatica intr-un Sauvignon Blanc modern,Sauvignon Blanc,,Vin alb sec,,kg,,15.88,active
petit-sauvignon-blanc-sticla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Petit_Sauvignon_Blanc_prezentare_1d75f243-1461-40d2-9864-e8257835e7fa.png?v=1772400516,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petit-chardonnay,Petit Chardonnay,"<p data-start=""320"" data-end=""463""><strong data-start=""320"" data-end=""340"">Petit Chardonnay</strong> este expresia eleganta a unui vin alb tanar, luminos si echilibrat, creat in podgoriile Chateau Cristi din sudul Moldovei.</p>
<p data-start=""465"" data-end=""651"">Profilul aromatic este dominat de fructe albe coapte – mere si pere – completate de accente fine de caise si vanilie. Notele subtile de lamaie si grapefruit aduc prospetime si claritate.</p>
<p data-start=""653"" data-end=""820"">Pe palat este suplu, proaspat si armonios, cu o aciditate bine integrata si un final curat, revigorant. Un vin versatil, potrivit pentru mese lejere sau seri relaxate.</p>
<p data-start=""822"" data-end=""871"">Se recomanda servirea la o temperatura de 8–12°C.</p>",PovesteDeVin,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Vin alb,"chardonnay, chateau cristi, custom-box-eligible, hidden-individual, hidden-product, moldova, petit, valea lui traian, vin 13 alcool, vin alb moldovenesc, vin alb sec, vin fructat, vin proaspat",true,Title,Default Title,,,,,,,,PE-CH,1250.0,shopify,-2,continue,manual,22.23,,true,false,,,,,'5941930900037,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Petit_Chardonnay.jpg?v=1772451730,1,Petit Chardonnay vin alb sec Chateau Cristi sticla 750ml,false,Petit Chardonnay | Vin alb sec Moldova | PovesteDeVin,"Petit Chardonnay este un vin alb sec din Moldova, proaspat si echilibrat, cu arome de mere, pere si note fine de vanilie. Disponibil si la bax de 6 sticle sau in cutie personalizabila pentru cadou.",,,,,,,,,,,,,moldova,,dry,white,,,,,13%,,1.25 kg,Sticla 0.75 L,Moldova,"Final curat, proaspat si revigorant, cu persistenta medie si nota citrica delicata.","Vinificat in stil proaspat, fara maturare indelungata in baric, pentru pastrarea caracterului fructat si a prospetimii naturale.","Arome de mere si pere coapte, completate de caise si accente fine de vanilie. Note citrice discrete de lamaie si grapefruit aduc prospetime si claritate.","Se potriveste cu peste alb, fructe de mare, pui sau curcan. Ideal alaturi de peste la gratar cu lamaie, pui la cuptor cu ierburi aromatice sau paste cu sos alb cremos si parmezan.","Textura supla, echilibru bun intre fruct si aciditate, gust proaspat si armonios, cu accente de fructe albe si citrice.",Valul lui Traian,8–12°C,Prospetime si echilibru din sudul Moldovei,Chardonnay,,Vin alb sec,,kg,,15.88,active
petit-chardonnay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Petit_Chardonnay_prezentare.png?v=1772448893,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petit-merlot-rose,Petit Merlot Rose,"<p data-start=""29"" data-end=""261"">Petit Merlot Rose este un vin roz sec, proaspat si vibrant, obtinut din soiul Merlot in podgoriile Chateau Cristi din sudul Moldovei. Elegant si expresiv, surprinde prin echilibrul dintre fructuozitate si prospetime.</p>
<p data-start=""263"" data-end=""484"">Aromele sale amintesc de capsuni, capsuni de padure, zmeura si visine, completate de accente florale delicate. Gustul este usor, revigorant si armonios, cu o aciditate bine conturata care sustine caracterul sau fructat.</p>
<p data-start=""486"" data-end=""637"">Este alegerea ideala pentru zilele calduroase de vara, ca aperitiv sau alaturi de preparate lejere. Se recomanda servirea la o temperatura de 8–12°C.</p>",PovesteDeVin,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Vin rose,"chateau cristi, custom-box-eligible, hidden-individual, hidden-product, merlot rose, moldova, petit, valea lui traian, vin 12.5 alcool, vin de vara, vin fructat, vin roze moldovenesc, vin roze sec",true,Title,Default Title,,,,,,,,PE-MR,1250.0,shopify,0,continue,manual,22.23,,true,false,,,,,'5941930900198,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Petit_Merlot_Rose.jpg?v=1772452325,1,Petit Merlot Rose vin rose sec Chateau Cristi sticla 750ml,false,Petit Merlot Rose | Vin roze sec Moldova | PovesteDeVin,"Petit Merlot Rose este un vin roze sec din Moldova, cu arome de capsuni, zmeura si note florale. Proaspat si revigorant, ideal pentru vara. Disponibil si la bax de 6 sticle sau in cutie personalizabila.",,,,,,,,,,,,,moldova,,dry,rose,,,,,12.5%,,1.25 kg,Sticla 0.75L,Moldova,"Final proaspat si revigorant, cu persistenta medie si accente de fructe rosii.","Vinificat in stil proaspat, cu macerare scurta pe pielite pentru obtinerea culorii delicate si pastrarea intensitatii aromatice.","Arome intense de capsuni, capsuni de padure, zmeura si visine, completate de note florale de trandafiri si flori albe.","Se potriveste cu salate proaspete, branzeturi usoare, fructe de mare sau preparate mediteraneene. Ideal alaturi de salata cu somon afumat, paste cu legume si parmezan sau pizza cu prosciutto si rucola.","Textura usoara si supla, gust fructat si echilibrat, sustinut de o aciditate vioaie care amplifica senzatia de prospetime.",Valul lui Traian,8–12°C,Prospetime si fructuozitate in stil mediteranean,Merlot,,Vin rose sec,,kg,,15.88,active
petit-merlot-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Petit_Merlot_Rose_prezentare.png?v=1772452279,2,Petit Merlot Rose o alegere perfecta pentru zilele de vara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petit-cabernet-sauvignon,Petit Cabernet Sauvignon,"<p>Petit Cabernet Sauvignon de la Chateau Cristi este un vin rosu sec, intens si expresiv, obtinut din soiul Cabernet Sauvignon. Aduce in prim-plan arome bogate de fructe negre coapte, condimente fine si usoare accente vegetale specifice soiului. Structurat si echilibrat, cu taninuri ferme si final persistent, este un vin potrivit atat pentru mese consistente, cat si pentru momente speciale.</p>",PovesteDeVin,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Vin rosu,"chateau cristi, custom-box-eligible, hidden-individual, hidden-product, moldova, petit, vin pentru friptura, vin pentru gratar, vin rosu moldova, vin rosu sec",true,Title,Default Title,,,,,,,,PE-CS,1250.0,shopify,-2,continue,manual,22.23,,true,false,,,,,'5941930900204,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Petit_Cabernet_Sauvignon.jpg?v=1772453183,1,Petit Cabernet Sauvignon Chateau Cristi sticla 0.75L vin rosu sec Moldova,false,Petit Cabernet Sauvignon | Vin rosu sec Moldova | PovesteDeVin,"Descopera Petit Cabernet Sauvignon de la Chateau Cristi, vin rosu sec din Republica Moldova, cu arome intense de fructe negre si condimente. Disponibil la bax de 6 sticle sau in cutie personalizabila, ideal pentru gratar si preparate din carne rosie.",,,,,,,,,,,,,moldova,,dry,red,,,,,14%,,1.25 kg,Sticla 0.75L,Moldova,"Final lung, usor condimentat, cu persistenta fructata si taninuri bine integrate.","Maturat pentru a evidentia structura soiului, cu accent pe pastrarea fructului si integrarea taninurilor.","Arome intense de cirese negre, coacaze si mure, completate de note de piper, condimente exotice si usoare accente de vanilie. Apar subtil si nuante vegetale elegante, precum ardei verde si o adiere de menta.","Se potriveste foarte bine cu vita la gratar, cotlet de porc la tigaie sau cuptor, miel la cuptor cu ierburi aromatice, mici si preparate BBQ, burgeri gourmet si branzeturi maturate.","Corpolent, cu taninuri ferme si bine conturate, aciditate medie si echilibru intre fructul negru copt si notele condimentate.",Valul lui Traian,12 – 18°C,"Intens, condimentat, cu personalitate",Cabernet Sauvignon,,Vin rosu sec,,kg,,15.88,active
petit-cabernet-sauvignon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Petit_Cabernet_Sauvignon_prezentare.png?v=1772453116,2,Petit Cabernet Sauvignon eticheta detaliu si descriere oficiala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petit-rara-neagra,Petit Rara Neagra,"<p>Petit Rara Neagra este un vin rosu sec obtinut dintr-un soi autohton moldovenesc cu personalitate distincta. Expresiv si echilibrat, aduce in prim-plan prospetimea fructului rosu si negru, taninuri moderate si o aciditate bine integrata. Este un vin care combina autenticitatea locala cu eleganta moderna, potrivit atat pentru mese variate, cat si pentru momente in care vrei sa descoperi caracterul unic al Moldovei in pahar.</p>",PovesteDeVin,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Vin rosu,"chateau cristi, custom-box-eligible, hidden-individual, hidden-product, moldova, petit, rara neagra, soi autohton, vin echilibrat, vin moldovenesc, vin pentru carne, vin rosu sec",true,Title,Default Title,,,,,,,,PE-RN,1250.0,shopify,0,continue,manual,22.23,,true,false,,,,,'5941930900167,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Petit_Rara_Neagra.jpg?v=1772453850,1,Petit Rara Neagra Chateau Cristi sticla 0.75L vin rosu sec Moldova,false,Petit Rara Neagra | Vin rosu sec Moldova | PovesteDeVin,"Descopera Petit Rara Neagra de la Chateau Cristi, vin rosu sec din Republica Moldova, obtinut din soi autohton. Arome de fructe rosii si negre, echilibru si prospetime. Disponibil la bax de 6 sticle sau in cutie personalizabila.",,,,,,,,,,,,,moldova,,dry,red,,,,,14%,,1.25 kg,Sticla 0.75L,Moldova,"Final mediu spre lung, echilibrat, cu persistenta fructata si usoare accente condimentate.","Vinificat pentru a pastra tipicitatea soiului Rara Neagra, cu accent pe prospetimea fructului si echilibrul natural dintre tanin si aciditate.","Arome expresive de zmeura, coacaze si cirese, completate de note de afine si accente fine de condimente si ierburi aromatice. Se disting subtil si nuante florale delicate, care adauga eleganta si complexitate.","Se potriveste foarte bine cu carne de pasare la cuptor, vita la gratar, porc la tigaie sau cuptor, paste cu sos de rosii si branzeturi semi-maturate.","Corpolenta medie, taninuri moderate si bine integrate, aciditate echilibrata si un caracter fructat clar, specific soiului autohton.",Valul lui Traian,12 – 18°C,"Autentic moldovenesc, echilibrat si expresiv",Rara Neagra,,Vin rosu sec,,kg,,15.88,active
petit-rara-neagra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Petit_Rara_Neagra_prezentare_vin.png?v=1772453897,2,Petit Rara Neagra eticheta detaliu si descriere oficiala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
